Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1505102003,3,T1_Markup,avg_completion,1.0,3,Mekar Jaya
1506012017,3,T1_Markup,activity_category,1.0,3,Brasau
1505062017,3,T1_Markup,avg_completion,1.0,3,Sumber Jaya
1505082007,6,T7_CrossCatDump,activity_category,1.0,3,Sungai Gelam
1505082008,3,T1_Markup,avg_completion,1.0,3,Parit
1505022006,4,T1_Markup,avg_completion,1.0,3,Kedotan
1505022015,5,T7_CrossCatDump,avg_completion,1.0,3,Suko Awin Jaya
1505022016,3,Unclassified,avg_completion,1.0,3,Tunas Mudo
1505042020,5,T7_CrossCatDump,avg_completion,1.0,3,Lubuk Raman
1505052015,5,T1_Markup,activity_category,1.0,3,Suka Damai
1504072009,6,T7_CrossCatDump,avg_completion,1.0,3,Sungkai
1504082001,8,T1_Markup,avg_completion,1.0,3,Bulian Jaya
1504082002,3,T1_Markup,avg_completion,1.0,3,Tidar Kuranji
1505012015,3,T2_Ghost,cost_deviation_by_category,1.0,3,Kedemangan
1502172004,3,T1_Markup,activity_category,1.0,3,Tiga Alur
1502172006,3,Unclassified,activity_category,1.0,3,Sungai Jering
1504062006,3,Unclassified,activity_category,1.0,3,Kembang Seri
1504062007,5,T1_Markup,avg_completion,1.0,3,Buluh Kasab
1504062011,6,T1_Markup,swakelola_high_value,1.0,3,Sungai Lingkar
1504062013,9,T1_Markup,cost_per_unit,1.0,3,Sungai Ruan Ilir
1504062015,6,T7_CrossCatDump,activity_category,1.0,3,Rawa Mekar
1504062017,4,Unclassified,cost_per_unit,1.0,3,Kembang Seri Baru
1504072001,9,T1_Markup,cost_deviation_by_category,1.0,3,Bungku
1504072002,6,T1_Markup,activity_category,1.0,3,Pompa Air
1504072003,7,T1_Markup,activity_category,1.0,3,Ladang Peris
1504072005,6,T1_Markup,activity_category,1.0,3,Penerokan
1504072006,4,T1_Markup,activity_category,1.0,3,Petajen
